ICD10_diagnosis_code	trait_description	phecode	Inclusion/Exclusion	phenotype
H40.23	Intermittent angle-closure glaucoma	365.2	Exclusion	Glaucoma
H40.231	Intermittent angle-closure glaucoma, right eye	365.2	Exclusion	Glaucoma
H40.232	Intermittent angle-closure glaucoma, left eye	365.2	Exclusion	Glaucoma
H40.233	Intermittent angle-closure glaucoma, bilateral	365.2	Exclusion	Glaucoma
H40.239	Intermittent angle-closure glaucoma, unspecified eye	365.2	Exclusion	Glaucoma
H40.24	Residual stage of angle-closure glaucoma	365.2	Exclusion	Glaucoma
H40.241	Residual stage of angle-closure glaucoma, right eye	365.2	Exclusion	Glaucoma
H40.242	Residual stage of angle-closure glaucoma, left eye	365.2	Exclusion	Glaucoma
H40.243	Residual stage of angle-closure glaucoma, bilateral	365.2	Exclusion	Glaucoma
H40.249	Residual stage of angle-closure glaucoma, unspecified eye	365.2	Exclusion	Glaucoma
H40.3	Glaucoma secondary to eye trauma	365	Exclusion	Glaucoma
H40.30	Glaucoma secondary to eye trauma, unspecified eye	365	Exclusion	Glaucoma
H40.30X0	Glaucoma secondary to eye trauma, unspecified eye, stage unspecified	365	Exclusion	Glaucoma
H40.30X1	Glaucoma secondary to eye trauma, unspecified eye, mild stage	365	Exclusion	Glaucoma
H40.30X2	Glaucoma secondary to eye trauma, unspecified eye, moderate stage	365	Exclusion	Glaucoma
H40.30X3	Glaucoma secondary to eye trauma, unspecified eye, severe stage	365	Exclusion	Glaucoma
H40.30X4	Glaucoma secondary to eye trauma, unspecified eye, indeterminate stage	365	Exclusion	Glaucoma
H40.31	Glaucoma secondary to eye trauma, right eye	365	Exclusion	Glaucoma
H40.31X0	Glaucoma secondary to eye trauma, right eye, stage unspecified	365	Exclusion	Glaucoma
H40.31X1	Glaucoma secondary to eye trauma, right eye, mild stage	365	Exclusion	Glaucoma
H40.31X2	Glaucoma secondary to eye trauma, right eye, moderate stage	365	Exclusion	Glaucoma
H40.31X3	Glaucoma secondary to eye trauma, right eye, severe stage	365	Exclusion	Glaucoma
H40.31X4	Glaucoma secondary to eye trauma, right eye, indeterminate stage	365	Exclusion	Glaucoma
H40.32	Glaucoma secondary to eye trauma, left eye	365	Exclusion	Glaucoma
H40.32X0	Glaucoma secondary to eye trauma, left eye, stage unspecified	365	Exclusion	Glaucoma
H40.32X1	Glaucoma secondary to eye trauma, left eye, mild stage	365	Exclusion	Glaucoma
H40.32X2	Glaucoma secondary to eye trauma, left eye, moderate stage	365	Exclusion	Glaucoma
H40.32X3	Glaucoma secondary to eye trauma, left eye, severe stage	365	Exclusion	Glaucoma
H40.32X4	Glaucoma secondary to eye trauma, left eye, indeterminate stage	365	Exclusion	Glaucoma
H40.33	Glaucoma secondary to eye trauma, bilateral	365	Exclusion	Glaucoma
H40.33X0	Glaucoma secondary to eye trauma, bilateral, stage unspecified	365	Exclusion	Glaucoma
H40.33X1	Glaucoma secondary to eye trauma, bilateral, mild stage	365	Exclusion	Glaucoma
H40.33X2	Glaucoma secondary to eye trauma, bilateral, moderate stage	365	Exclusion	Glaucoma
H40.33X3	Glaucoma secondary to eye trauma, bilateral, severe stage	365	Exclusion	Glaucoma
H40.33X4	Glaucoma secondary to eye trauma, bilateral, indeterminate stage	365	Exclusion	Glaucoma
H40.4	Glaucoma secondary to eye inflammation	365	Exclusion	Glaucoma
H40.40	Glaucoma secondary to eye inflammation, unspecified eye	365	Exclusion	Glaucoma
H40.40X0	Glaucoma secondary to eye inflammation, unspecified eye, stage unspecified	365	Exclusion	Glaucoma
H40.40X1	Glaucoma secondary to eye inflammation, unspecified eye, mild stage	365	Exclusion	Glaucoma
H40.40X2	Glaucoma secondary to eye inflammation, unspecified eye, moderate stage	365	Exclusion	Glaucoma
H40.40X3	Glaucoma secondary to eye inflammation, unspecified eye, severe stage	365	Exclusion	Glaucoma
H40.40X4	Glaucoma secondary to eye inflammation, unspecified eye, indeterminate stage	365	Exclusion	Glaucoma
H40.41	Glaucoma secondary to eye inflammation, right eye	365	Exclusion	Glaucoma
H40.41X0	Glaucoma secondary to eye inflammation, right eye, stage unspecified	365	Exclusion	Glaucoma
H40.41X1	Glaucoma secondary to eye inflammation, right eye, mild stage	365	Exclusion	Glaucoma
H40.41X2	Glaucoma secondary to eye inflammation, right eye, moderate stage	365	Exclusion	Glaucoma
H40.41X3	Glaucoma secondary to eye inflammation, right eye, severe stage	365	Exclusion	Glaucoma
H40.41X4	Glaucoma secondary to eye inflammation, right eye, indeterminate stage	365	Exclusion	Glaucoma
H40.42	Glaucoma secondary to eye inflammation, left eye	365	Exclusion	Glaucoma
H40.42X0	Glaucoma secondary to eye inflammation, left eye, stage unspecified	365	Exclusion	Glaucoma
H40.42X1	Glaucoma secondary to eye inflammation, left eye, mild stage	365	Exclusion	Glaucoma
H40.42X2	Glaucoma secondary to eye inflammation, left eye, moderate stage	365	Exclusion	Glaucoma
H40.42X3	Glaucoma secondary to eye inflammation, left eye, severe stage	365	Exclusion	Glaucoma
H40.42X4	Glaucoma secondary to eye inflammation, left eye, indeterminate stage	365	Exclusion	Glaucoma
H40.43	Glaucoma secondary to eye inflammation, bilateral	365	Exclusion	Glaucoma
H40.43X0	Glaucoma secondary to eye inflammation, bilateral, stage unspecified	365	Exclusion	Glaucoma
H40.43X1	Glaucoma secondary to eye inflammation, bilateral, mild stage	365	Exclusion	Glaucoma
H40.43X2	Glaucoma secondary to eye inflammation, bilateral, moderate stage	365	Exclusion	Glaucoma
H40.43X3	Glaucoma secondary to eye inflammation, bilateral, severe stage	365	Exclusion	Glaucoma
H40.43X4	Glaucoma secondary to eye inflammation, bilateral, indeterminate stage	365	Exclusion	Glaucoma
H40.5	Glaucoma secondary to other eye disorders	365	Exclusion	Glaucoma
H40.50	Glaucoma secondary to other eye disorders, unspecified eye	365	Exclusion	Glaucoma
H40.50X0	Glaucoma secondary to other eye disorders, unspecified eye, stage unspecified	365	Exclusion	Glaucoma
H40.50X1	Glaucoma secondary to other eye disorders, unspecified eye, mild stage	365	Exclusion	Glaucoma
H40.50X2	Glaucoma secondary to other eye disorders, unspecified eye, moderate stage	365	Exclusion	Glaucoma
H40.50X3	Glaucoma secondary to other eye disorders, unspecified eye, severe stage	365	Exclusion	Glaucoma
H40.50X4	Glaucoma secondary to other eye disorders, unspecified eye, indeterminate stage	365	Exclusion	Glaucoma
H40.51	Glaucoma secondary to other eye disorders, right eye	365	Exclusion	Glaucoma
H40.51X0	Glaucoma secondary to other eye disorders, right eye, stage unspecified	365	Exclusion	Glaucoma
H40.51X1	Glaucoma secondary to other eye disorders, right eye, mild stage	365	Exclusion	Glaucoma
H40.51X2	Glaucoma secondary to other eye disorders, right eye, moderate stage	365	Exclusion	Glaucoma
H40.51X3	Glaucoma secondary to other eye disorders, right eye, severe stage	365	Exclusion	Glaucoma
H40.51X4	Glaucoma secondary to other eye disorders, right eye, indeterminate stage	365	Exclusion	Glaucoma
H40.52	Glaucoma secondary to other eye disorders, left eye	365	Exclusion	Glaucoma
H40.52X0	Glaucoma secondary to other eye disorders, left eye, stage unspecified	365	Exclusion	Glaucoma
H40.52X1	Glaucoma secondary to other eye disorders, left eye, mild stage	365	Exclusion	Glaucoma
H40.52X2	Glaucoma secondary to other eye disorders, left eye, moderate stage	365	Exclusion	Glaucoma
H40.52X3	Glaucoma secondary to other eye disorders, left eye, severe stage	365	Exclusion	Glaucoma
H40.52X4	Glaucoma secondary to other eye disorders, left eye, indeterminate stage	365	Exclusion	Glaucoma
H40.53	Glaucoma secondary to other eye disorders, bilateral	365	Exclusion	Glaucoma
H40.53X0	Glaucoma secondary to other eye disorders, bilateral, stage unspecified	365	Exclusion	Glaucoma
H40.53X1	Glaucoma secondary to other eye disorders, bilateral, mild stage	365	Exclusion	Glaucoma
H40.53X2	Glaucoma secondary to other eye disorders, bilateral, moderate stage	365	Exclusion	Glaucoma
H40.53X3	Glaucoma secondary to other eye disorders, bilateral, severe stage	365	Exclusion	Glaucoma
H40.53X4	Glaucoma secondary to other eye disorders, bilateral, indeterminate stage	365	Exclusion	Glaucoma
H40.6	Glaucoma secondary to drugs	365	Exclusion	Glaucoma
H40.60	Glaucoma secondary to drugs, unspecified eye	365	Exclusion	Glaucoma
H40.60X0	Glaucoma secondary to drugs, unspecified eye, stage unspecified	365	Exclusion	Glaucoma
H40.60X1	Glaucoma secondary to drugs, unspecified eye, mild stage	365	Exclusion	Glaucoma
H40.60X2	Glaucoma secondary to drugs, unspecified eye, moderate stage	365	Exclusion	Glaucoma
H40.60X3	Glaucoma secondary to drugs, unspecified eye, severe stage	365	Exclusion	Glaucoma
H40.60X4	Glaucoma secondary to drugs, unspecified eye, indeterminate stage	365	Exclusion	Glaucoma
H40.61	Glaucoma secondary to drugs, right eye	365	Exclusion	Glaucoma
H40.61X0	Glaucoma secondary to drugs, right eye, stage unspecified	365	Exclusion	Glaucoma
H40.61X1	Glaucoma secondary to drugs, right eye, mild stage	365	Exclusion	Glaucoma
H40.61X2	Glaucoma secondary to drugs, right eye, moderate stage	365	Exclusion	Glaucoma
H40.61X3	Glaucoma secondary to drugs, right eye, severe stage	365	Exclusion	Glaucoma
H40.61X4	Glaucoma secondary to drugs, right eye, indeterminate stage	365	Exclusion	Glaucoma
H40.62	Glaucoma secondary to drugs, left eye	365	Exclusion	Glaucoma
H40.62X0	Glaucoma secondary to drugs, left eye, stage unspecified	365	Exclusion	Glaucoma
H40.62X1	Glaucoma secondary to drugs, left eye, mild stage	365	Exclusion	Glaucoma
H40.62X2	Glaucoma secondary to drugs, left eye, moderate stage	365	Exclusion	Glaucoma
H40.62X3	Glaucoma secondary to drugs, left eye, severe stage	365	Exclusion	Glaucoma
H40.62X4	Glaucoma secondary to drugs, left eye, indeterminate stage	365	Exclusion	Glaucoma
H40.63	Glaucoma secondary to drugs, bilateral	365	Exclusion	Glaucoma
H40.63X0	Glaucoma secondary to drugs, bilateral, stage unspecified	365	Exclusion	Glaucoma
H40.63X1	Glaucoma secondary to drugs, bilateral, mild stage	365	Exclusion	Glaucoma
H40.63X2	Glaucoma secondary to drugs, bilateral, moderate stage	365	Exclusion	Glaucoma
H40.63X3	Glaucoma secondary to drugs, bilateral, severe stage	365	Exclusion	Glaucoma
H40.63X4	Glaucoma secondary to drugs, bilateral, indeterminate stage	365	Exclusion	Glaucoma
H40.8	Other glaucoma	365	Exclusion	Glaucoma
H40.81	Glaucoma with increased episcleral venous pressure	365	Exclusion	Glaucoma
H40.811	Glaucoma with increased episcleral venous pressure, right eye	365	Exclusion	Glaucoma
H40.812	Glaucoma with increased episcleral venous pressure, left eye	365	Exclusion	Glaucoma
H40.813	Glaucoma with increased episcleral venous pressure, bilateral	365	Exclusion	Glaucoma
H40.819	Glaucoma with increased episcleral venous pressure, unspecified eye	365	Exclusion	Glaucoma
H40.82	Hypersecretion glaucoma	365	Exclusion	Glaucoma
H40.821	Hypersecretion glaucoma, right eye	365	Exclusion	Glaucoma
H40.822	Hypersecretion glaucoma, left eye	365	Exclusion	Glaucoma
H40.823	Hypersecretion glaucoma, bilateral	365	Exclusion	Glaucoma
H40.829	Hypersecretion glaucoma, unspecified eye	365	Exclusion	Glaucoma
H40.83	Aqueous misdirection	365	Exclusion	Glaucoma
H40.831	Aqueous misdirection, right eye	365	Exclusion	Glaucoma
H40.832	Aqueous misdirection, left eye	365	Exclusion	Glaucoma
H40.833	Aqueous misdirection, bilateral	365	Exclusion	Glaucoma
H40.839	Aqueous misdirection, unspecified eye	365	Exclusion	Glaucoma
H40.89	Other specified glaucoma	365	Exclusion	Glaucoma
H40.9	Unspecified glaucoma	365	Exclusion	Glaucoma
H42	Glaucoma in diseases classified elsewhere	365	Exclusion	Glaucoma
H44	Disorders of globe	379	Exclusion	Glaucoma
H44.0	Purulent endophthalmitis	371	Exclusion	Glaucoma
H44.00	Unspecified purulent endophthalmitis	371	Exclusion	Glaucoma
H44.001	…… right eye	371	Exclusion	Glaucoma
H44.002	…… left eye	371	Exclusion	Glaucoma
H44.003	…… bilateral	371	Exclusion	Glaucoma
H44.009	…… unspecified eye	371	Exclusion	Glaucoma
H44.01	Panophthalmitis (acute)	371	Exclusion	Glaucoma
H44.011	…… right eye	371	Exclusion	Glaucoma
H44.012	…… left eye	371	Exclusion	Glaucoma
H44.013	…… bilateral	371	Exclusion	Glaucoma
H44.019	…… unspecified eye	371	Exclusion	Glaucoma
H44.02	Vitreous abscess (chronic)	371	Exclusion	Glaucoma
H44.021	…… right eye	371	Exclusion	Glaucoma
H44.022	…… left eye	371	Exclusion	Glaucoma
H44.023	…… bilateral	371	Exclusion	Glaucoma
H44.029	…… unspecified eye	371	Exclusion	Glaucoma
H44.1	Other endophthalmitis	371	Exclusion	Glaucoma
H44.11	Panuveitis	369	Exclusion	Glaucoma
H44.111	…… right eye	371.1	Exclusion	Glaucoma
H44.112	…… left eye	371.1	Exclusion	Glaucoma
H44.113	…… bilateral	371.1	Exclusion	Glaucoma
H44.119	…… unspecified eye	371.1	Exclusion	Glaucoma
H44.12	Parasitic endophthalmitis, unspecified	371.1	Exclusion	Glaucoma
H44.121	…… right eye	369	Exclusion	Glaucoma
H44.122	…… left eye	369	Exclusion	Glaucoma
H44.123	…… bilateral	369	Exclusion	Glaucoma
H44.129	…… unspecified eye	369	Exclusion	Glaucoma
H44.13	Sympathetic uveitis	369	Exclusion	Glaucoma
H44.131	…… right eye	371.1	Exclusion	Glaucoma
H44.132	…… left eye	371.1	Exclusion	Glaucoma
H44.133	…… bilateral	371.1	Exclusion	Glaucoma
H44.139	…… unspecified eye	371.1	Exclusion	Glaucoma
H44.2	Degenerative myopia	371.1	Exclusion	Glaucoma
H44.20	Degenerative myopia, unspecified eye	369	Exclusion	Glaucoma
H44.21	Degenerative myopia, right eye	360.2	Exclusion	Glaucoma
H44.22	Degenerative myopia, left eye	360.2	Exclusion	Glaucoma
H44.23	Degenerative myopia, bilateral	360.2	Exclusion	Glaucoma
H44.2A	Degenerative myopia with choroidal neovascularization	360.2	Exclusion	Glaucoma
H44.2A1	Degeneratv myopia with choroidal neovascularization, r eye	360.2	Exclusion	Glaucoma
H44.2A2	Degeneratv myopia with choroidal neovascularization, l eye	360.2	Exclusion	Glaucoma
H44.2A3	Degeneratv myopia with choroidal neovascularization, bi eye	360.2	Exclusion	Glaucoma
H44.2A9	Degenerative myopia with choroidal neovascularization, unspecified eye	360.2	Exclusion	Glaucoma
H44.2B	Degenerative myopia with macular hole	360.2	Exclusion	Glaucoma
H44.2B1	Degenerative myopia with macular hole, right eye	360.2	Exclusion	Glaucoma
H44.2B2	Degenerative myopia with macular hole, left eye	360.2	Exclusion	Glaucoma
H44.2B3	Degenerative myopia with macular hole, bilateral eye	360.2	Exclusion	Glaucoma
H44.2B9	Degenerative myopia with macular hole, unspecified eye	360.2	Exclusion	Glaucoma
H44.2C	Degenerative myopia with retinal detachment	360.2	Exclusion	Glaucoma
H44.2C1	Degenerative myopia with retinal detachment, right eye	360.2	Exclusion	Glaucoma
H44.2C2	Degenerative myopia with retinal detachment, left eye	360.2	Exclusion	Glaucoma
H44.2C3	Degenerative myopia with retinal detachment, bilateral eye	360.2	Exclusion	Glaucoma
H44.2C9	Degenerative myopia with retinal detachment, unspecified eye	360.2	Exclusion	Glaucoma
H44.2D	Degenerative myopia with foveoschisis	360.2	Exclusion	Glaucoma
H44.2D1	Degenerative myopia with foveoschisis, right eye	360.2	Exclusion	Glaucoma
H44.2D2	Degenerative myopia with foveoschisis, left eye	360.2	Exclusion	Glaucoma
H44.2D3	Degenerative myopia with foveoschisis, bilateral eye	360.2	Exclusion	Glaucoma
H44.2D9	Degenerative myopia with foveoschisis, unspecified eye	360.2	Exclusion	Glaucoma
H44.2E	Degenerative myopia with other maculopathy	360.2	Exclusion	Glaucoma
H44.2E1	Degenerative myopia with other maculopathy, right eye	360.2	Exclusion	Glaucoma
H44.2E2	Degenerative myopia with other maculopathy, left eye	360.2	Exclusion	Glaucoma
H44.2E3	Degenerative myopia with other maculopathy, bilateral eye	360.2	Exclusion	Glaucoma
H44.2E9	Degenerative myopia with other maculopathy, unspecified eye	360.2	Exclusion	Glaucoma
H44.3	Other and unspecified degenerative disorders of globe	360	Exclusion	Glaucoma
H44.30	Unspecified degenerative disorder of globe	360	Exclusion	Glaucoma
H44.31	Chalcosis	360	Exclusion	Glaucoma
H44.311	Chalcosis, right eye	360	Exclusion	Glaucoma
H44.312	Chalcosis, left eye	360	Exclusion	Glaucoma
H44.313	Chalcosis, bilateral	360	Exclusion	Glaucoma
H44.319	Chalcosis, unspecified eye	360	Exclusion	Glaucoma
H44.32	Siderosis of eye	360	Exclusion	Glaucoma
H44.321	Siderosis of eye, right eye	360	Exclusion	Glaucoma
H44.322	Siderosis of eye, left eye	360	Exclusion	Glaucoma
H44.323	Siderosis of eye, bilateral	360	Exclusion	Glaucoma
H44.329	Siderosis of eye, unspecified eye	360	Exclusion	Glaucoma
H44.39	Other degenerative disorders of globe	360	Exclusion	Glaucoma
H44.391	Other degenerative disorders of globe, right eye	360	Exclusion	Glaucoma
H44.392	Other degenerative disorders of globe, left eye	360	Exclusion	Glaucoma
H44.393	Other degenerative disorders of globe, bilateral	360	Exclusion	Glaucoma
H44.399	Other degenerative disorders of globe, unspecified eye	360	Exclusion	Glaucoma
H44.4	Hypotony of eye	360.3	Exclusion	Glaucoma
H44.40	Unspecified hypotony of eye	360.3	Exclusion	Glaucoma
H44.41	Flat anterior chamber hypotony of eye	360.3	Exclusion	Glaucoma
H44.411	Flat anterior chamber hypotony of right eye	360.3	Exclusion	Glaucoma
H44.412	Flat anterior chamber hypotony of left eye	360.3	Exclusion	Glaucoma
H44.413	Flat anterior chamber hypotony of eye, bilateral	360.3	Exclusion	Glaucoma
H44.419	Flat anterior chamber hypotony of unspecified eye	360.3	Exclusion	Glaucoma
H44.42	Hypotony of eye due to ocular fistula	360.3	Exclusion	Glaucoma
H44.421	Hypotony of right eye due to ocular fistula	360.3	Exclusion	Glaucoma
H44.422	Hypotony of left eye due to ocular fistula	360.3	Exclusion	Glaucoma
H44.423	Hypotony of eye due to ocular fistula, bilateral	360.3	Exclusion	Glaucoma
H44.429	Hypotony of unspecified eye due to ocular fistula	360.3	Exclusion	Glaucoma
H44.43	Hypotony of eye due to other ocular disorders	360.3	Exclusion	Glaucoma
H44.431	Hypotony of eye due to other ocular disorders, right eye	360.3	Exclusion	Glaucoma
H44.432	Hypotony of eye due to other ocular disorders, left eye	360.3	Exclusion	Glaucoma
H44.433	Hypotony of eye due to other ocular disorders, bilateral	360.3	Exclusion	Glaucoma
H44.439	Hypotony of eye due to other ocular disorders, unspecified eye	360.3	Exclusion	Glaucoma
H44.44	Primary hypotony of eye	360.3	Exclusion	Glaucoma
H44.441	Primary hypotony of right eye	360.3	Exclusion	Glaucoma
H44.442	Primary hypotony of left eye	360.3	Exclusion	Glaucoma
H44.443	Primary hypotony of eye, bilateral	360.3	Exclusion	Glaucoma
H44.449	Primary hypotony of unspecified eye	360.3	Exclusion	Glaucoma
H44.5	Degenerated conditions of globe	360	Exclusion	Glaucoma
H44.50	Unspecified degenerated conditions of globe	360	Exclusion	Glaucoma
H44.51	Absolute glaucoma	360.3	Exclusion	Glaucoma
H44.511	Absolute glaucoma, right eye	360.3	Exclusion	Glaucoma
H44.512	Absolute glaucoma, left eye	360.3	Exclusion	Glaucoma
H44.513	Absolute glaucoma, bilateral	360.3	Exclusion	Glaucoma
H44.519	Absolute glaucoma, unspecified eye	360.3	Exclusion	Glaucoma
H44.52	Atrophy of globe	360	Exclusion	Glaucoma
H44.521	Atrophy of globe, right eye	360	Exclusion	Glaucoma
H44.522	Atrophy of globe, left eye	360	Exclusion	Glaucoma
H44.523	Atrophy of globe, bilateral	360	Exclusion	Glaucoma
H44.529	Atrophy of globe, unspecified eye	360	Exclusion	Glaucoma
H44.53	Leucocoria	360	Exclusion	Glaucoma
H44.531	Leucocoria, right eye	360	Exclusion	Glaucoma
H44.532	Leucocoria, left eye	360	Exclusion	Glaucoma
H44.533	Leucocoria, bilateral	360	Exclusion	Glaucoma
H44.539	Leucocoria, unspecified eye	360	Exclusion	Glaucoma
H44.6	Retained (old) intraocular foreign body, magnetic	1001	Exclusion	Glaucoma
H44.60	Unspecified retained (old) intraocular foreign body, magnetic	1001	Exclusion	Glaucoma
H44.601	…… right eye	1001	Exclusion	Glaucoma
H44.602	…… left eye	1001	Exclusion	Glaucoma
H44.603	…… bilateral	1001	Exclusion	Glaucoma
H44.609	…… unspecified eye	1001	Exclusion	Glaucoma
H44.61	Retained (old) magnetic foreign body in anterior chamber	1001	Exclusion	Glaucoma
H44.611	…… right eye	1001	Exclusion	Glaucoma
H44.612	…… left eye	1001	Exclusion	Glaucoma
H44.613	…… bilateral	1001	Exclusion	Glaucoma
H44.619	…… unspecified eye	1001	Exclusion	Glaucoma
H44.62	Retained (old) magnetic foreign body in iris or ciliary body	1001	Exclusion	Glaucoma
H44.621	…… right eye	1001	Exclusion	Glaucoma
H44.622	…… left eye	1001	Exclusion	Glaucoma
H44.623	…… bilateral	1001	Exclusion	Glaucoma
H44.629	…… unspecified eye	1001	Exclusion	Glaucoma
H44.63	Retained (old) magnetic foreign body in lens	1001	Exclusion	Glaucoma
H44.631	…… right eye	1001	Exclusion	Glaucoma
H44.632	…… left eye	1001	Exclusion	Glaucoma
H44.633	…… bilateral	1001	Exclusion	Glaucoma
H44.639	…… unspecified eye	1001	Exclusion	Glaucoma
H44.64	Retained (old) magnetic foreign body in posterior wall of globe	1001	Exclusion	Glaucoma
H44.641	…… right eye	1001	Exclusion	Glaucoma
H44.642	…… left eye	1001	Exclusion	Glaucoma
H44.643	…… bilateral	1001	Exclusion	Glaucoma
H44.649	…… unspecified eye	1001	Exclusion	Glaucoma
H44.65	Retained (old) magnetic foreign body in vitreous body	1001	Exclusion	Glaucoma
H44.651	…… right eye	1001	Exclusion	Glaucoma
H44.652	…… left eye	1001	Exclusion	Glaucoma
H44.653	…… bilateral	1001	Exclusion	Glaucoma
H44.659	…… unspecified eye	1001	Exclusion	Glaucoma
H44.69	Retained (old) intraocular foreign body, magnetic, in other or multiple sites	1001	Exclusion	Glaucoma
H44.691	…… right eye	1001	Exclusion	Glaucoma
H44.692	…… left eye	1001	Exclusion	Glaucoma
H44.693	…… bilateral	1001	Exclusion	Glaucoma
H44.699	…… unspecified eye	1001	Exclusion	Glaucoma
H44.7	Retained (old) intraocular foreign body, nonmagnetic	1001	Exclusion	Glaucoma
H44.70	Unspecified retained (old) intraocular foreign body, nonmagnetic	1001	Exclusion	Glaucoma
H44.701	…… right eye	1001	Exclusion	Glaucoma
H44.702	…… left eye	1001	Exclusion	Glaucoma
H44.703	…… bilateral	1001	Exclusion	Glaucoma
H44.709	…… unspecified eye	1001	Exclusion	Glaucoma
H44.71	Retained (nonmagnetic) (old) foreign body in anterior chamber	1001	Exclusion	Glaucoma
H44.711	…… right eye	1001	Exclusion	Glaucoma
H44.712	…… left eye	1001	Exclusion	Glaucoma
H44.713	…… bilateral	1001	Exclusion	Glaucoma
H44.719	…… unspecified eye	1001	Exclusion	Glaucoma
H44.72	Retained (nonmagnetic) (old) foreign body in iris or ciliary body	1001	Exclusion	Glaucoma
H44.721	…… right eye	1001	Exclusion	Glaucoma
H44.722	…… left eye	1001	Exclusion	Glaucoma
H44.723	…… bilateral	1001	Exclusion	Glaucoma
H44.729	…… unspecified eye	1001	Exclusion	Glaucoma
H44.73	Retained (nonmagnetic) (old) foreign body in lens	1001	Exclusion	Glaucoma
H44.731	…… right eye	1001	Exclusion	Glaucoma
H44.732	…… left eye	1001	Exclusion	Glaucoma
H44.733	…… bilateral	1001	Exclusion	Glaucoma
H44.739	…… unspecified eye	1001	Exclusion	Glaucoma
H44.74	Retained (nonmagnetic) (old) foreign body in posterior wall of globe	1001	Exclusion	Glaucoma
H44.741	…… right eye	1001	Exclusion	Glaucoma
H44.742	…… left eye	1001	Exclusion	Glaucoma
H44.743	…… bilateral	1001	Exclusion	Glaucoma
H44.749	…… unspecified eye	1001	Exclusion	Glaucoma
H44.75	Retained (nonmagnetic) (old) foreign body in vitreous body	1001	Exclusion	Glaucoma
H44.751	…… right eye	1001	Exclusion	Glaucoma
H44.752	…… left eye	1001	Exclusion	Glaucoma
H44.753	…… bilateral	1001	Exclusion	Glaucoma
H44.759	…… unspecified eye	1001	Exclusion	Glaucoma
H44.79	Retained (old) intraocular foreign body, nonmagnetic, in other or multiple sites	1001	Exclusion	Glaucoma
H44.791	…… right eye	1001	Exclusion	Glaucoma
H44.792	…… left eye	1001	Exclusion	Glaucoma
H44.793	…… bilateral	1001	Exclusion	Glaucoma
H44.799	…… unspecified eye	1001	Exclusion	Glaucoma
H44.8	Other disorders of globe	360	Exclusion	Glaucoma
H44.81	Hemophthalmos	360	Exclusion	Glaucoma
H44.811	Hemophthalmos, right eye	360	Exclusion	Glaucoma
H44.812	Hemophthalmos, left eye	360	Exclusion	Glaucoma
H44.813	Hemophthalmos, bilateral	360	Exclusion	Glaucoma
H44.819	Hemophthalmos, unspecified eye	360	Exclusion	Glaucoma
H44.82	Luxation of globe	360	Exclusion	Glaucoma
H44.821	Luxation of globe, right eye	360	Exclusion	Glaucoma
H44.822	Luxation of globe, left eye	360	Exclusion	Glaucoma
H44.823	Luxation of globe, bilateral	360	Exclusion	Glaucoma
H44.829	Luxation of globe, unspecified eye	360	Exclusion	Glaucoma
H44.89	Other disorders of globe	360	Exclusion	Glaucoma
H44.9	Unspecified disorder of globe	360	Exclusion	Glaucoma
Z94.7	Corneal transplant status	364.9	Exclusion	Glaucoma
E78.0	Pure hypercholesterolemia	272.11	Inclusion	Hypercholesterolemia (HCL)
E78.00	Familial hypercholesterolemia	272.11	Inclusion	Hypercholesterolemia (HCL)
E78.01	Pure hypercholesterolemia, unspecified	272.11	Inclusion	Hypercholesterolemia (HCL)
E75.6	Lipid storage disorder, unspecified	272.9	Exclusion	Hypercholesterolemia (HCL)
E78.0	Pure hypercholesterolemia	272.11	Exclusion	Hypercholesterolemia (HCL)
E78.00	Pure hypercholesterolemia, unspecified	272.11	Exclusion	Hypercholesterolemia (HCL)
E78.01	Familial hypercholesterolemia	272.11	Exclusion	Hypercholesterolemia (HCL)
E78.010	Homozygous familial hypercholesterolemia [HoFH]	272.11	Exclusion	Hypercholesterolemia (HCL)
E78.011	Heterozygous familial hypercholesterolemia [HeFH]	272.11	Exclusion	Hypercholesterolemia (HCL)
E78.019	…… unspecified	272.11	Exclusion	Hypercholesterolemia (HCL)
E78.1	Pure hyperglyceridemia	272.12	Exclusion	Hypercholesterolemia (HCL)
E78.2	Mixed hyperlipidemia	272.13	Exclusion	Hypercholesterolemia (HCL)
E78.3	Hyperchylomicronemia	272.14	Exclusion	Hypercholesterolemia (HCL)
E78.4	Other hyperlipidemia	272.1	Exclusion	Hypercholesterolemia (HCL)
E78.5	Hyperlipidemia, unspecified	272.1	Exclusion	Hypercholesterolemia (HCL)
E78.70	Disorder of bile acid and cholesterol metabolism, unspecified	272.9	Exclusion	Hypercholesterolemia (HCL)
E78.9	Disorder of lipoprotein metabolism, unspecified	272.9	Exclusion	Hypercholesterolemia (HCL)
E66.2	Morbid (severe) obesity with alveolar hypoventilation	513.3	Inclusion	Obesity
E66.8	Other obesity	278.1	Inclusion	Obesity
E66.811	Obesity, class 1	278.1	Inclusion	Obesity
E66.812	Obesity, class 2	278.1	Inclusion	Obesity
E66.813	Obesity, class 3	278.1	Inclusion	Obesity
E66.89	…… not elsewhere classified	278.1	Inclusion	Obesity
E66.9	Obesity, unspecified	278.1	Inclusion	Obesity
R93.9	Diagnostic imaging inconclusive due to excess body fat of patient	278.1	Inclusion	Obesity
Z68.3	Body mass index (BMI) 30-39, adult	278.1	Inclusion	Obesity
